,Batch id, time, Longitude, Latitude, x, y, z,velocity,x_raw,y_raw,z_raw,label
103,73,2017-10-15 13:43:11.668,36.7637694,-1.2976926,-0.001,0.001,-0.005,0.631503600048,-0.115,-0.358242517924,-1.36727244623,0.0
104,73,2017-10-15 13:43:11.773,36.7637694,-1.2976926,0.0,-0.001,-0.003,0.631503600048,-0.115,-0.463242517924,-1.68227244623,0.0
105,73,2017-10-15 13:43:11.876,36.7637694,-1.2976926,0.002,0.0,0.01,0.631503600048,0.091,-0.463242517924,-0.652272446228,0.0
106,73,2017-10-15 13:43:11.981,36.7637694,-1.2976926,0.001,0.001,0.008,0.631503600048,0.196,-0.358242517924,0.187727553772,0.0
108,73,2017-10-15 13:43:12.083,36.76376679,-1.29769364,0.0,0.001,0.005,0.30863745879,0.196,-0.256242517924,0.697727553772,0.0
109,73,2017-10-15 13:43:12.188,36.76376679,-1.29769364,-0.001,-0.001,-0.005,0.30863745879,0.091,-0.361242517924,0.172727553772,0.0
110,73,2017-10-15 13:43:12.291,36.76376679,-1.29769364,-0.002,-0.002,-0.015,0.30863745879,-0.115,-0.567242517924,-1.37227244623,0.0
111,73,2017-10-15 13:43:12.395,36.76376679,-1.29769364,0.0,0.0,0.0,0.30863745879,-0.115,-0.567242517924,-1.37227244623,0.0
112,73,2017-10-15 13:43:12.498,36.76376679,-1.29769364,0.0,0.0,0.002,0.30863745879,-0.115,-0.567242517924,-1.16627244623,0.0
113,73,2017-10-15 13:43:12.602,36.76376679,-1.29769364,0.0,0.0,0.003,0.30863745879,-0.115,-0.567242517924,-0.854272446228,0.0
114,73,2017-10-15 13:43:12.706,36.76376679,-1.29769364,0.001,0.001,0.013,0.30863745879,-0.011,-0.463242517924,0.497727553772,0.0
115,73,2017-10-15 13:43:12.810,36.76376679,-1.29769364,0.0,0.0,0.004,0.30863745879,-0.011,-0.463242517924,0.913727553772,0.0
116,73,2017-10-15 13:43:12.914,36.76376679,-1.29769364,0.0,0.0,-0.002,0.30863745879,-0.011,-0.463242517924,0.705727553772,0.0
118,73,2017-10-15 13:43:13.025,36.76376709,-1.29769379,-0.002,-0.002,-0.016,0.0378177084634,-0.233,-0.685242517924,-1.07027244623,0.0
119,73,2017-10-15 13:43:13.126,36.76376709,-1.29769379,0.0,0.001,0.005,0.0378177084634,-0.233,-0.584242517924,-0.565272446228,0.0
120,73,2017-10-15 13:43:13.230,36.76376709,-1.29769379,-0.001,0.0,-0.005,0.0378177084634,-0.337,-0.584242517924,-1.08527244623,0.0
121,73,2017-10-15 13:43:13.334,36.76376709,-1.29769379,-0.001,-0.001,-0.005,0.0378177084634,-0.441,-0.688242517924,-1.60527244623,0.0
122,73,2017-10-15 13:43:13.438,36.76376709,-1.29769379,0.0,0.0,0.001,0.0378177084634,-0.441,-0.688242517924,-1.50127244623,0.0
123,73,2017-10-15 13:43:13.543,36.76376709,-1.29769379,0.001,0.0,0.003,0.0378177084634,-0.336,-0.688242517924,-1.18627244623,0.0
124,73,2017-10-15 13:43:13.646,36.76376709,-1.29769379,0.001,0.0,0.008,0.0378177084634,-0.233,-0.688242517924,-0.362272446228,0.0
125,73,2017-10-15 13:43:13.749,36.76376709,-1.29769379,0.001,0.001,0.011,0.0378177084634,-0.13,-0.585242517924,0.770727553772,0.0
126,73,2017-10-15 13:43:13.855,36.76376709,-1.29769379,0.0,0.0,-0.004,0.0378177084634,-0.13,-0.585242517924,0.346727553772,0.0
127,73,2017-10-15 13:43:13.957,36.76376709,-1.29769379,-0.002,-0.001,-0.008,0.0378177084634,-0.334,-0.687242517924,-0.469272446228,0.0
129,73,2017-10-15 13:43:14.061,36.76376621,-1.29769425,-0.002,-0.002,-0.01,0.109190482917,-0.542,-0.895242517924,-1.50927244623,0.0
130,73,2017-10-15 13:43:14.165,36.76376621,-1.29769425,-0.002,0.0,-0.015,0.109190482917,-0.75,-0.895242517924,-3.06927244623,0.0
131,73,2017-10-15 13:43:14.269,36.76376621,-1.29769425,0.0,0.0,0.003,0.109190482917,-0.75,-0.895242517924,-2.75727244623,0.0
132,73,2017-10-15 13:43:14.372,36.76376621,-1.29769425,0.0,0.0,0.004,0.109190482917,-0.75,-0.895242517924,-2.34527244623,0.0
133,73,2017-10-15 13:43:14.476,36.76376621,-1.29769425,0.001,0.0,0.0,0.109190482917,-0.646,-0.895242517924,-2.34527244623,0.0
134,73,2017-10-15 13:43:14.580,36.76376621,-1.29769425,0.002,0.002,0.018,0.109190482917,-0.438,-0.687242517924,-0.473272446228,0.0
135,73,2017-10-15 13:43:14.684,36.76376621,-1.29769425,-0.001,0.001,-0.005,0.109190482917,-0.542,-0.583242517924,-0.993272446228,0.0
136,73,2017-10-15 13:43:14.788,36.76376621,-1.29769425,0.0,-0.002,-0.004,0.109190482917,-0.542,-0.791242517924,-1.40927244623,0.0
137,73,2017-10-15 13:43:14.891,36.76376621,-1.29769425,0.0,0.002,0.001,0.109190482917,-0.542,-0.585242517924,-1.30627244623,0.0
139,73,2017-10-15 13:43:14.994,36.76376488,-1.29769387,0.0,-0.002,0.006,0.156112359683,-0.542,-0.791242517924,-0.688272446228,0.0
140,73,2017-10-15 13:43:15.099,36.76376488,-1.29769387,-0.001,-0.001,-0.003,0.156112359683,-0.647,-0.896242517924,-1.00327244623,0.0
141,73,2017-10-15 13:43:15.203,36.76376488,-1.29769387,0.001,-0.001,0.002,0.156112359683,-0.543,-1.00024251792,-0.795272446228,0.0
142,73,2017-10-15 13:43:15.306,36.76376488,-1.29769387,0.002,0.005,0.003,0.156112359683,-0.337,-0.485242517924,-0.486272446228,0.0
143,73,2017-10-15 13:43:15.410,36.76376488,-1.29769387,-0.001,-0.001,-0.008,0.156112359683,-0.441,-0.589242517924,-1.31827244623,0.0
144,73,2017-10-15 13:43:15.515,36.76376488,-1.29769387,-0.002,-0.006,-0.002,0.156112359683,-0.651,-1.21924251792,-1.52827244623,0.0
145,73,2017-10-15 13:43:15.618,36.76376488,-1.29769387,0.0,0.009,0.0,0.156112359683,-0.651,-0.292242517924,-1.52827244623,0.0
146,73,2017-10-15 13:43:15.722,36.76376488,-1.29769387,0.001,-0.001,0.0,0.156112359683,-0.547,-0.396242517924,-1.52827244623,0.0
147,73,2017-10-15 13:43:15.825,36.76376488,-1.29769387,0.0,-0.003,-0.004,0.156112359683,-0.547,-0.705242517924,-1.94027244623,0.0
148,73,2017-10-15 13:43:15.928,36.76376488,-1.29769387,0.001,-0.003,0.0,0.156112359683,-0.444,-1.01424251792,-1.94027244623,0.0
150,73,2017-10-15 13:43:16.034,36.76376473,-1.29769764,0.003,0.003,0.015,0.419536387272,-0.126,-0.696242517924,-0.350272446228,0.0
151,73,2017-10-15 13:43:16.136,36.76376473,-1.29769764,0.003,0.001,0.007,0.419536387272,0.18,-0.594242517924,0.363727553772,0.0
152,73,2017-10-15 13:43:16.241,36.76376473,-1.29769764,-0.004,0.005,-0.004,0.419536387272,-0.24,-0.0692425179241,-0.0562724462277,0.0
153,73,2017-10-15 13:43:16.344,36.76376473,-1.29769764,-0.008,-0.005,-0.009,0.419536387272,-1.064,-0.584242517924,-0.983272446228,0.0
