,Batch id, time, Longitude, Latitude,x,y,z,velocity,x_raw,y_raw,z_raw,label,speedbump,pothole
184,73,43:19.2,36.76376412,-1.29772728,-0.005,0.013,0.013,1.218868466,-0.741,1.145757482,0.485727554,0,0,0
185,73,43:19.4,36.76376412,-1.29772728,0.003,-0.007,0.006,1.218868466,-0.429,0.417757482,1.109727554,0,0,0
186,73,43:19.5,36.76376412,-1.29772728,0.003,-0.018,-0.016,1.218868466,-0.12,-1.436242518,-0.538272446,0,0,0
187,73,43:19.6,36.76376412,-1.29772728,-0.002,0.005,0.008,1.218868466,-0.328,-0.916242518,0.293727554,0,0,0
188,73,43:19.7,36.76376412,-1.29772728,-0.01,0.021,-0.012,1.218868466,-1.368,1.267757482,-0.954272446,0,0,0
189,73,43:19.8,36.76376412,-1.29772728,0.007,-0.005,-0.002,1.218868466,-0.64,0.747757482,-1.162272446,0,0,0
190,73,43:19.9,36.76376412,-1.29772728,0.007,-0.018,0.023,1.218868466,0.095,-1.142242518,1.252727554,0,0,0
191,73,43:20.0,36.76376412,-1.29772728,-0.002,0.003,-0.01,1.218868466,-0.111,-0.833242518,0.222727554,0,0,0
193,73,43:20.1,36.76378002,-1.29774006,-0.006,0.01,-0.013,2.227862666,-0.729,0.196757482,-1.116272446,0,0,0
194,73,43:20.2,36.76378002,-1.29774006,-0.001,-0.009,0.001,2.227862666,-0.833,-0.739242518,-1.012272446,0,0,0
195,73,43:20.3,36.76378002,-1.29774006,-0.001,-0.002,-0.006,2.227862666,-0.937,-0.947242518,-1.636272446,0,0,0
196,73,43:20.4,36.76378002,-1.29774006,0.008,0,0.006,2.227862666,-0.105,-0.947242518,-1.012272446,0,0,0
197,73,43:20.5,36.76378002,-1.29774006,0.003,0.004,0.01,2.227862666,0.21,-0.527242518,0.037727554,0,0,0
198,73,43:20.6,36.76378002,-1.29774006,-0.006,0.005,0,2.227862666,-0.408,-0.012242518,0.037727554,0,0,0
199,73,43:20.7,36.76378002,-1.29774006,0.001,-0.005,0.004,2.227862666,-0.302,-0.542242518,0.461727554,0,0,0
200,73,43:20.8,36.76378002,-1.29774006,-0.001,0.004,-0.002,2.227862666,-0.403,-0.138242518,0.259727554,0,0,0
201,73,43:20.9,36.76378002,-1.29774006,0.001,0.003,0.013,2.227862666,-0.299,0.173757482,1.611727554,0,0,0
203,73,43:21.0,36.76380567,-1.2977466,-0.011,-0.004,-0.025,2.975420178,-1.432,-0.238242518,-0.963272446,0,0,0
204,73,43:21.1,36.76380567,-1.2977466,0.008,0,0.045,2.975420178,-0.6,-0.238242518,3.716727554,0,0,0
205,73,43:21.2,36.76380567,-1.2977466,-0.001,-0.019,-0.025,2.975420178,-0.704,-2.214242518,1.116727554,0,0,0
206,73,43:21.3,36.76380567,-1.2977466,0.006,0.009,-0.017,2.975420178,-0.08,-1.278242518,-0.651272446,0,0,0
207,73,43:21.4,36.76380567,-1.2977466,0,0.01,0.013,2.975420178,-0.08,-0.238242518,0.700727554,0,0,0
208,73,43:21.5,36.76380567,-1.2977466,-0.001,-0.009,0.048,2.975420178,-0.183,-1.165242518,5.644727554,0,0,0
209,73,43:21.6,36.76380567,-1.2977466,-0.002,-0.012,-0.037,2.975420178,-0.393,-2.425242518,1.759727554,0,0,0
210,73,43:21.7,36.76380567,-1.2977466,-0.013,0.006,-0.023,2.975420178,-1.732,-1.807242518,-0.609272446,0,0,0
211,73,43:21.8,36.76380567,-1.2977466,0.005,0,-0.001,2.975420178,-1.207,-1.807242518,-0.714272446,0,0,0
212,73,43:21.9,36.76380567,-1.2977466,0.005,-0.003,0.001,2.975420178,-0.692,-2.116242518,-0.611272446,0,0,0
214,73,43:22.1,36.76383813,-1.29775261,0.007,0.004,0.017,3.688263472,0.029,-1.704242518,1.139727554,0,0,0
215,73,43:22.2,36.76383813,-1.29775261,-0.002,0,-0.02,3.688263472,-0.179,-1.704242518,-0.940272446,0,0,0
216,73,43:22.3,36.76383813,-1.29775261,0.005,-0.003,0.009,3.688263472,0.341,-2.016242518,-0.004272446,0,0,0
217,73,43:22.4,36.76383813,-1.29775261,-0.008,0.005,0.025,3.688263472,-0.483,-1.501242518,2.570727554,0,0,0
218,73,43:22.5,36.76383813,-1.29775261,-0.009,0.01,0.002,3.688263472,-1.419,-0.461242518,2.778727554,0,0,0
219,73,43:22.6,36.76383813,-1.29775261,0.005,-0.004,0.009,3.688263472,-0.899,-0.877242518,3.714727554,0,0,0
220,73,43:22.7,36.76383813,-1.29775261,-0.013,-0.002,-0.045,3.688263472,-2.251,-1.085242518,-0.965272446,0,0,0
221,73,43:22.8,36.76383813,-1.29775261,0.017,-0.004,0.033,3.688263472,-0.483,-1.501242518,2.466727554,0,0,0
222,73,43:22.9,36.76383813,-1.29775261,0.006,0.001,-0.049,3.688263472,0.141,-1.397242518,-2.629272446,0,0,0
223,73,43:23.0,36.76383813,-1.29775261,0.004,0.001,-0.013,3.688263472,0.557,-1.293242518,-3.981272446,0,0,0
225,73,43:23.1,36.7638783,-1.29776645,-0.01,0.011,0.034,4.612591804,-0.473,-0.160242518,-0.479272446,0,0,0
226,73,43:23.2,36.7638783,-1.29776645,-0.012,-0.013,0.029,4.612591804,-1.721,-1.512242518,2.536727554,0,0,0
227,73,43:23.3,36.7638783,-1.29776645,0.007,0.001,-0.009,4.612591804,-0.986,-1.407242518,1.591727554,0,0,0
228,73,43:23.4,36.7638783,-1.29776645,0.017,-0.009,0.027,4.612591804,0.765,-2.334242518,4.372727554,0,0,0
229,73,43:23.5,36.7638783,-1.29776645,0,0.015,-0.054,4.612591804,0.765,-0.774242518,-1.243272446,0,0,0
230,73,43:23.6,36.7638783,-1.29776645,-0.009,0.019,0.008,4.612591804,-0.162,1.182757482,-0.419272446,0,0,0
